# s_x s_a s_y II_00 II_01 II_11 Psi
-0.6 0 0 0 0 0 6.123614427
-0.5952874438 0 0 0 0 0 6.022233806
-0.5905249779 0 0 0 0 0 5.940656744
-0.585712133 0 0 0 0 0 5.864465141
-0.5808484359 0 0 0 0 0 5.747019501
-0.5759334097 0 0 0 0 0 5.626429786
-0.5709665734 0 0 0 0 0 5.536505586
-0.565947442 0 0 0 0 0 5.445388003
-0.5608755268 0 0 0 0 0 5.160016769
-0.5557503348 0 0 0 0 0 4.202611429
-0.5505713693 0 0 0 0 0 4.620903019
-0.5453381292 0 0 0 0 0 4.860968533
-0.5400501096 0 0 0 0 0 4.113855059
-0.5347068014 0 0 0 0 0 4.570707611
-0.5293076913 0 0 0 0 0 3.841461295
-0.5238522619 0 0 0 0 0 4.851985354
-0.5183399917 0 0 0 0 0 4.207283968
-0.5127703548 0 0 0 0 0 3.44163081
-0.5071428211 0 0 0 0 0 3.312891387
-0.5014568562 0 0 0 0 0 1.223580055
-0.4957119216 0 0 0 0 0 1.15505252
-0.4899074742 0 0 0 0 0 1.089383738
-0.4840429667 0 0 0 0 0 1.026433074
-0.4781178472 0 0 0 0 0 0.96618393
-0.4721315595 0 0 0 0 0 0.9083522792
-0.4660835431 0 0 0 0 0 0.8527335673
-0.4599732327 0 0 0 0 0 0.7992908792
-0.4538000586 0 0 0 0 0 0.747978968
-0.4475634467 0 0 0 0 0 0.6983428475
-0.4412628181 0 0 0 0 0 0.6509672347
-0.4348975894 0 0 0 0 0 0.5981748744
-0.4284671724 0 0 0 0 0 0.5556580507
-0.4219709745 0 0 0 0 0 0.5158784707
-0.4154083982 0 0 0 0 0 0.488983611
-0.4087788412 0 0 0 0 0 0.4546219369
-0.4020816966 0 0 0 0 0 0.4225310038
-0.3953163526 0 0 0 0 0 0.3926308646
-0.3884821925 0 0 0 0 0 0.3646422235
-0.3815785948 0 0 0 0 0 0.3385058303
-0.3746049332 0 0 0 0 0 0.3139218027
-0.3675605762 0 0 0 0 0 0.2906419353
-0.3604448875 0 0 0 0 0 0.2680489556
-0.3532572259 0 0 0 0 0 0.2474703747
-0.3459969448 0 0 0 0 0 0.2258694674
-0.338663393 0 0 0 0 0 0.2066572467
-0.3312559138 0 0 0 0 0 0.1897777458
-0.3237738455 0 0 0 0 0 0.1750498581
-0.3162165213 0 0 0 0 0 0.1623062964
-0.3085832691 0 0 0 0 0 0.1514356395
-0.3008734115 0 0 0 0 0 0.1422044392
-0.2930862659 0 0 0 0 0 0.1343670589
-0.2852211445 0 0 0 0 0 0.1275782338
-0.2772773539 0 0 0 0 0 0.1216627664
-0.2692541955 0 0 0 0 0 0.1163541117
-0.2611509652 0 0 0 0 0 0.111291342
-0.2529669534 0 0 0 0 0 0.1062254977
-0.2447014452 0 0 0 0 0 0.1011556421
