# s_x s_a s_y II_00 II_01 II_11 Psi
-0.65 0 0 0 0 0 30.04075733
-0.6455014972 0 0 0 0 0 24.71429961
-0.6409510244 0 0 0 0 0 23.4461045
-0.6363480485 0 0 0 0 0 21.79152353
-0.6316920318 0 0 0 0 0 19.93507697
-0.6269824316 0 0 0 0 0 19.00697638
-0.6222187005 0 0 0 0 0 18.16996217
-0.6174002862 0 0 0 0 0 17.68254464
-0.6125266314 0 0 0 0 0 16.70511577
-0.607597174 0 0 0 0 0 16.06379219
-0.6026113466 0 0 0 0 0 15.52907094
-0.597568577 0 0 0 0 0 14.94054714
-0.592468288 0 0 0 0 0 14.3540761
-0.587309897 0 0 0 0 0 16.36013756
-0.5820928164 0 0 0 0 0 13.4232647
-0.5768164534 0 0 0 0 0 13.4577363
-0.5714802101 0 0 0 0 0 13.68451457
-0.566083483 0 0 0 0 0 13.71845477
-0.5606256637 0 0 0 0 0 13.91287555
-0.555106138 0 0 0 0 0 13.30487908
-0.5495242868 0 0 0 0 0 12.6765362
-0.5438794851 0 0 0 0 0 12.02706335
-0.5381711027 0 0 0 0 0 10.96689495
-0.5323985038 0 0 0 0 0 9.899546795
-0.5265610471 0 0 0 0 0 8.72427562
-0.5206580857 0 0 0 0 0 7.541472949
-0.514688967 0 0 0 0 0 6.423833035
-0.5086530327 0 0 0 0 0 5.26565421
-0.5025496188 0 0 0 0 0 0.9339109051
-0.4963780557 0 0 0 0 0 0.8393899885
-0.4901376677 0 0 0 0 0 0.7635365508
-0.4838277734 0 0 0 0 0 0.652708128
-0.4774476856 0 0 0 0 0 0.588006105
-0.4709967111 0 0 0 0 0 0.5337099803
-0.4644741505 0 0 0 0 0 0.511303319
-0.4578792986 0 0 0 0 0 0.4636052554
-0.4512114441 0 0 0 0 0 0.4754239023
-0.4444698697 0 0 0 0 0 0.4233924117
-0.4376538515 0 0 0 0 0 0.3755362298
-0.43076266 0 0 0 0 0 0.2716292616
-0.4237955589 0 0 0 0 0 0.2492416113
-0.416751806 0 0 0 0 0 0.2207727552
-0.4096306525 0 0 0 0 0 0.1925839583
-0.4024313433 0 0 0 0 0 0.1933160226
-0.395153117 0 0 0 0 0 0.1664568255
-0.3877952054 0 0 0 0 0 0.1443644914
-0.380356834 0 0 0 0 0 0.1289123564
-0.3728372218 0 0 0 0 0 0.1124475317
-0.3652355809 0 0 0 0 0 0.09679011172
-0.3575511169 0 0 0 0 0 0.07827986542
-0.3497830286 0 0 0 0 0 0.06803130242
-0.3419305082 0 0 0 0 0 0.05971820526
-0.3339927408 0 0 0 0 0 0.0529507543
