# s_x s_a s_y II_00 II_01 II_11 Psi
-0.6 0 0 0 0 0 3.964272152
-0.5952874438 0 0 0 0 0 3.887020514
-0.5905249779 0 0 0 0 0 3.783841758
-0.585712133 0 0 0 0 0 3.682817179
-0.5808484359 0 0 0 0 0 3.583335948
-0.5759334097 0 0 0 0 0 3.485857992
-0.5709665734 0 0 0 0 0 3.39010209
-0.565947442 0 0 0 0 0 3.296074597
-0.5608755268 0 0 0 0 0 3.203745377
-0.5557503348 0 0 0 0 0 3.113051263
-0.5505713693 0 0 0 0 0 3.023789055
-0.5453381292 0 0 0 0 0 2.934148645
-0.5400501096 0 0 0 0 0 2.846849943
-0.5347068014 0 0 0 0 0 2.76065504
-0.5293076913 0 0 0 0 0 2.675546606
-0.5238522619 0 0 0 0 0 2.591864107
-0.5183399917 0 0 0 0 0 2.509804119
-0.5127703548 0 0 0 0 0 2.429203205
-0.5071428211 0 0 0 0 0 2.350919571
-0.5014568562 0 0 0 0 0 2.274835328
-0.4957119216 0 0 0 0 0 2.201073292
-0.4899074742 0 0 0 0 0 2.129651186
-0.4840429667 0 0 0 0 0 2.060559426
-0.4781178472 0 0 0 0 0 1.993914631
-0.4721315595 0 0 0 0 0 1.929689368
-0.4660835431 0 0 0 0 0 1.8678399
-0.4599732327 0 0 0 0 0 1.808289543
-0.4538000586 0 0 0 0 0 1.751028453
-0.4475634467 0 0 0 0 0 1.696148641
-0.4412628181 0 0 0 0 0 1.642755348
-0.4348975894 0 0 0 0 0 1.737064946
-0.4284671724 0 0 0 0 0 1.653713095
-0.4219709745 0 0 0 0 0 1.57098746
-0.4154083982 0 0 0 0 0 1.489968734
-0.4087788412 0 0 0 0 0 1.411313962
-0.4020816966 0 0 0 0 0 1.335307529
-0.3953163526 0 0 0 0 0 1.261782457
-0.3884821925 0 0 0 0 0 1.189717933
-0.3815785948 0 0 0 0 0 1.120643031
-0.3746049332 0 0 0 0 0 1.055204495
-0.3675605762 0 0 0 0 0 0.9931403812
-0.3604448875 0 0 0 0 0 0.9340666092
-0.3532572259 0 0 0 0 0 0.8778795379
-0.3459969448 0 0 0 0 0 0.8244490994
-0.338663393 0 0 0 0 0 0.7735555889
-0.3312559138 0 0 0 0 0 0.7246761633
-0.3237738455 0 0 0 0 0 0.6775465419
-0.3162165213 0 0 0 0 0 0.6321186383
-0.3085832691 0 0 0 0 0 0.5880616044
-0.3008734115 0 0 0 0 0 0.5452960469
-0.2930862659 0 0 0 0 0 0.5039529488
-0.2852211445 0 0 0 0 0 0.4640754106
-0.2772773539 0 0 0 0 0 0.4258605123
-0.2692541955 0 0 0 0 0 0.3889959917
-0.2611509652 0 0 0 0 0 0.3533531425
-0.2529669534 0 0 0 0 0 0.3193273624
-0.2447014452 0 0 0 0 0 0.2870489179
-0.2363537198 0 0 0 0 0 0.2572098094
-0.2279230512 0 0 0 0 0 0.2299764774
-0.2194087076 0 0 0 0 0 0.205359628
-0.2108099517 0 0 0 0 0 0.1831514906
-0.2021260403 0 0 0 0 0 0.1631202994
-0.1933562247 0 0 0 0 0 0.1450874507
-0.1844997503 0 0 0 0 0 0.1288557657
-0.1755558569 0 0 0 0 0 0.114218447
-0.1665237781 0 0 0 0 0 0.1009664429
-0.157402742 0 0 0 0 0 0.08894671673
-0.1481919707 0 0 0 0 0 0.07798649301
-0.1388906802 0 0 0 0 0 0.06795643345
-0.1294980807 0 0 0 0 0 0.05873178201
-0.1200133763 0 0 0 0 0 0.0502791984
-0.110435765 0 0 0 0 0 0.04260498303
-0.1007644387 0 0 0 0 0 0.03571722217
-0.0909985833 0 0 0 0 0 0.02960962533
-0.0811373783 0 0 0 0 0 0.02426714691
-0.0711799971 0 0 0 0 0 0.0196738364
