# s_x s_a s_y II_00 II_01 II_11 Psi
-0.6 0 0 0 0 0 27.42457127
-0.5952874438 0 0 0 0 0 26.5970218
-0.5905249779 0 0 0 0 0 25.78886376
-0.585712133 0 0 0 0 0 25.01728217
-0.5808484359 0 0 0 0 0 24.25068169
-0.5759334097 0 0 0 0 0 23.50579064
-0.5709665734 0 0 0 0 0 22.58419722
-0.565947442 0 0 0 0 0 21.30022008
-0.5608755268 0 0 0 0 0 20.66209406
-0.5557503348 0 0 0 0 0 20.00520344
-0.5505713693 0 0 0 0 0 19.36420319
-0.5453381292 0 0 0 0 0 18.73627213
-0.5400501096 0 0 0 0 0 13.40987328
-0.5347068014 0 0 0 0 0 13.0597708
-0.5293076913 0 0 0 0 0 12.71296412
-0.5238522619 0 0 0 0 0 12.36784503
-0.5183399917 0 0 0 0 0 12.02491986
-0.5127703548 0 0 0 0 0 11.69134017
-0.5071428211 0 0 0 0 0 11.3540363
-0.5014568562 0 0 0 0 0 11.01941952
-0.4957119216 0 0 0 0 0 10.68845443
-0.4899074742 0 0 0 0 0 10.36252056
-0.4840429667 0 0 0 0 0 10.04194097
-0.4781178472 0 0 0 0 0 9.728504717
-0.4721315595 0 0 0 0 0 9.424340299
-0.4660835431 0 0 0 0 0 9.130670037
-0.4599732327 0 0 0 0 0 8.847419129
-0.4538000586 0 0 0 0 0 9.914910135
-0.4475634467 0 0 0 0 0 9.573841353
-0.4412628181 0 0 0 0 0 9.190270982
-0.4348975894 0 0 0 0 0 8.763005467
-0.4284671724 0 0 0 0 0 8.338541526
-0.4219709745 0 0 0 0 0 7.934420329
-0.4154083982 0 0 0 0 0 7.514434381
-0.4087788412 0 0 0 0 0 7.11725044
-0.4020816966 0 0 0 0 0 6.732816956
-0.3953163526 0 0 0 0 0 6.362635285
-0.3884821925 0 0 0 0 0 6.008866826
-0.3815785948 0 0 0 0 0 5.674458633
-0.3746049332 0 0 0 0 0 5.359079044
-0.3675605762 0 0 0 0 0 5.061203562
-0.3604448875 0 0 0 0 0 4.778662971
-0.3532572259 0 0 0 0 0 4.507588872
-0.3459969448 0 0 0 0 0 4.245514311
-0.338663393 0 0 0 0 0 3.992179887
-0.3312559138 0 0 0 0 0 3.747732101
-0.3237738455 0 0 0 0 0 3.511675689
-0.3162165213 0 0 0 0 0 3.283085482
-0.3085832691 0 0 0 0 0 3.06083602
-0.3008734115 0 0 0 0 0 2.845290819
-0.2930862659 0 0 0 0 0 2.636831919
-0.2852211445 0 0 0 0 0 2.435644353
-0.2772773539 0 0 0 0 0 2.241640861
-0.2692541955 0 0 0 0 0 2.054658241
-0.2611509652 0 0 0 0 0 1.874625202
-0.2529669534 0 0 0 0 0 1.704232978
-0.2447014452 0 0 0 0 0 1.544840584
-0.2363537198 0 0 0 0 0 1.398167523
-0.2279230512 0 0 0 0 0 1.264194836
-0.2194087076 0 0 0 0 0 1.142123912
-0.2108099517 0 0 0 0 0 1.030775579
-0.2021260403 0 0 0 0 0 0.928957345
-0.1933562247 0 0 0 0 0 0.8355605071
-0.1844997503 0 0 0 0 0 0.7493132896
-0.1755558569 0 0 0 0 0 0.6692230791
-0.1665237781 0 0 0 0 0 0.5948178786
-0.157402742 0 0 0 0 0 0.5254472816
-0.1481919707 0 0 0 0 0 0.4605811385
-0.1388906802 0 0 0 0 0 0.4002272686
-0.1294980807 0 0 0 0 0 0.344439037
-0.1200133763 0 0 0 0 0 0.2932427244
-0.110435765 0 0 0 0 0 0.2466567795
-0.1007644387 0 0 0 0 0 0.2047268705
-0.0909985833 0 0 0 0 0 0.1674314756
-0.0811373783 0 0 0 0 0 0.1346991904
-0.0711799971 0 0 0 0 0 0.1064244386
-0.0611256069 0 0 0 0 0 0.08241124634
-0.0509733684 0 0 0 0 0 0.06231881765
-0.0407224362 0 0 0 0 0 0.04554810721
-0.0303719582 0 0 0 0 0 0.03186869271
-0.0199210763 0 0 0 0 0 0.02129847784
-0.0093689255 0 0 0 0 0 0.01407906143
0.001285365 0 0 0 0 0 0.01070702064
0.012042675 0 0 0 0 0 0.01203931756
0.022903886 0 0 0 0 0 0.01881055979
0.033869891 0 0 0 0 0 0.03178738324
0.044941588 0 0 0 0 0 0.05181645766
0.05611988 0 0 0 0 0 0.07955127529
0.06740568 0 0 0 0 0 0.1155772693
0.078799905 0 0 0 0 0 0.1604551911
0.09030348 0 0 0 0 0 0.2147164134
0.101917337 0 0 0 0 0 0.2788707084
0.113642415 0 0 0 0 0 0.3534249784
0.12547966 0 0 0 0 0 0.4388897113
0.137430024 0 0 0 0 0 0.5357890561
0.149494468 0 0 0 0 0 0.6446530513
0.161673957 0 0 0 0 0 0.7660149636
0.173969467 0 0 0 0 0 0.9004155474
0.186381979 0 0 0 0 0 1.048398102
0.198912481 0 0 0 0 0 1.210518207
0.211561969 0 0 0 0 0 1.387343803
0.224331447 0 0 0 0 0 1.579446758
0.237221925 0 0 0 0 0 1.787406504
0.250234422 0 0 0 0 0 2.011807548
0.263369962 0 0 0 0 0 2.253242615
0.276629579 0 0 0 0 0 2.512313149
0.290014315 0 0 0 0 0 2.78963532
0.303525216 0 0 0 0 0 3.08584125
0.317163339 0 0 0 0 0 3.401575387
0.330929748 0 0 0 0 0 3.737488312
0.344825514 0 0 0 0 0 4.094242016
0.358851717 0 0 0 0 0 4.47251302
0.373009444 0 0 0 0 0 4.872988741
0.38729979 0 0 0 0 0 5.296373546
0.401723857 0 0 0 0 0 5.743385403
0.416282758 0 0 0 0 0 6.214751528
0.430977612 0 0 0 0 0 6.711211828
0.445809545 0 0 0 0 0 7.233522947
0.460779693 0 0 0 0 0 7.782534277
0.4758892 0 0 0 0 0 8.358874017
0.491139218 0 0 0 0 0 8.963419979
0.506530907 0 0 0 0 0 9.596988997
0.522065436 0 0 0 0 0 10.2604147
0.537743982 0 0 0 0 0 10.95454341
0.55356773 0 0 0 0 0 11.68030414
0.569537875 0 0 0 0 0 12.43843378
0.585655619 0 0 0 0 0 13.2298963
0.601922174 0 0 0 0 0 14.05560132
0.61833876 0 0 0 0 0 14.916478
0.634906604 0 0 0 0 0 15.81347322
0.651626946 0 0 0 0 0 16.74754677
0.668501031 0 0 0 0 0 17.71967488
0.685530115 0 0 0 0 0 18.73085321
0.702715462 0 0 0 0 0 19.78193784
0.720058345 0 0 0 0 0 20.87423665
0.737560046 0 0 0 0 0 22.00868544
0.755221858 0 0 0 0 0 23.1863554
0.77304508 0 0 0 0 0 24.40833909
0.791031023 0 0 0 0 0 25.67575502
0.809181005 0 0 0 0 0 26.98973307
0.827496356 0 0 0 0 0 28.35142786
0.845978414 0 0 0 0 0 29.76201342
0.864628525 0 0 0 0 0 31.2226772
0.883448046 0 0 0 0 0 32.73463453
0.902438345 0 0 0 0 0 34.29914003
0.921600797 0 0 0 0 0 35.91745855
0.940936788 0 0 0 0 0 37.59087292
0.960447713 0 0 0 0 0 39.320706
0.980134979 0 0 0 0 0 41.10829688
1 0 0 0 0 0 42.95500733
0 -0.75 0 0 0 0 8.222371079
0 -0.7300009009 0 0 0 0 7.619175183
0 -0.7102720598 0 0 0 0 6.996028478
0 -0.6908134769 0 0 0 0 6.209776689
0 -0.671625152 0 0 0 0 5.523278798
0 -0.6527070853 0 0 0 0 4.915899657
0 -0.6340592766 0 0 0 0 4.379626306
0 -0.615681726 0 0 0 0 3.72645006
0 -0.5975744336 0 0 0 0 3.394549403
0 -0.5797373992 0 0 0 0 2.970266149
0 -0.5621706229 0 0 0 0 2.600343005
0 -0.5448741048 0 0 0 0 2.282273168
0 -0.5278478447 0 0 0 0 2.007936328
0 -0.5110918427 0 0 0 0 1.768556945
0 -0.4946060988 0 0 0 0 1.552223912
0 -0.478390613 0 0 0 0 1.361319615
0 -0.4624453853 0 0 0 0 1.188343515
0 -0.4467704157 0 0 0 0 1.03610436
0 -0.4313657042 0 0 0 0 0.9025556746
0 -0.4162312508 0 0 0 0 0.7857015283
0 -0.4013670555 0 0 0 0 0.6837675718
0 -0.3867731183 0 0 0 0 0.5949375889
0 -0.3724494392 0 0 0 0 0.5175637092
0 -0.3583960182 0 0 0 0 0.4501897578
0 -0.3446128553 0 0 0 0 0.3915675049
0 -0.3310999505 0 0 0 0 0.3406343202
0 -0.3178573037 0 0 0 0 0.2964045805
0 -0.3048849151 0 0 0 0 0.2580113069
0 -0.2921827846 0 0 0 0 0.224740842
0 -0.2797509121 0 0 0 0 0.1959289947
0 -0.2675892978 0 0 0 0 0.1709550047
0 -0.2556979415 0 0 0 0 0.1493286014
0 -0.2440768434 0 0 0 0 0.1306509346
0 -0.2327260033 0 0 0 0 0.1145294064
0 -0.2216454214 0 0 0 0 0.1006256123
0 -0.2108350975 0 0 0 0 0.08865575443
0 -0.2002950318 0 0 0 0 0.0783533932
0 -0.1900252241 0 0 0 0 0.06947692735
0 -0.1800256745 0 0 0 0 0.06182004694
0 -0.170296383 0 0 0 0 0.05517305518
0 -0.1608373497 0 0 0 0 0.0493825774
0 -0.1516485744 0 0 0 0 0.04433457371
