# s_x s_a s_y II_00 II_01 II_11 Psi
-0.5 0 0 0 0 0 4.811670946
-0.4953951491 0 0 0 0 0 4.623368502
-0.4907521649 0 0 0 0 0 3.523829144
-0.4860707669 0 0 0 0 0 3.571380834
-0.481350673 0 0 0 0 0 3.44679044
-0.4765915991 0 0 0 0 0 3.26995396
-0.4717932592 0 0 0 0 0 3.134963431
-0.4669553658 0 0 0 0 0 3.007631219
-0.4620776292 0 0 0 0 0 2.888002682
-0.457159758 0 0 0 0 0 2.775222154
-0.4522014589 0 0 0 0 0 2.708256146
-0.4472024368 0 0 0 0 0 1.896728152
-0.4421623948 0 0 0 0 0 1.833486719
-0.4370810337 0 0 0 0 0 1.774227535
-0.4319580529 0 0 0 0 0 1.718790185
-0.4267931496 0 0 0 0 0 1.666723376
-0.4215860191 0 0 0 0 0 1.830959579
-0.4163363548 0 0 0 0 0 1.572480208
-0.4110438482 0 0 0 0 0 1.811398044
-0.4057081887 0 0 0 0 0 1.729351417
-0.4003290639 0 0 0 0 0 1.650010098
-0.3949061593 0 0 0 0 0 1.573541008
-0.3894391586 0 0 0 0 0 1.500121357
-0.3839277432 0 0 0 0 0 1.429698215
-0.3783715927 0 0 0 0 0 1.362283214
-0.3727703847 0 0 0 0 0 1.298160936
-0.3671237946 0 0 0 0 0 1.273536458
-0.3614314958 0 0 0 0 0 1.215830682
-0.3556931599 0 0 0 0 0 1.162031524
-0.3499084561 0 0 0 0 0 1.111565996
-0.3440770517 0 0 0 0 0 1.065015455
-0.3381986118 0 0 0 0 0 1.018854173
-0.3322727996 0 0 0 0 0 0.9753663364
-0.326299276 0 0 0 0 0 0.9344718177
-0.3202776998 0 0 0 0 0 0.8964629756
-0.3142077277 0 0 0 0 0 0.9038909593
-0.3080890144 0 0 0 0 0 0.7553703032
-0.3019212121 0 0 0 0 0 0.722127807
-0.2957039713 0 0 0 0 0 0.6910848407
-0.2894369398 0 0 0 0 0 0.6621234442
-0.2831197637 0 0 0 0 0 0.635180037
-0.2767520865 0 0 0 0 0 0.6791566298
-0.2703335497 0 0 0 0 0 0.6458481056
-0.2638637926 0 0 0 0 0 0.61465424
-0.2573424522 0 0 0 0 0 0.5854090208
-0.2507691632 0 0 0 0 0 0.5577005182
-0.244143558 0 0 0 0 0 0.5315541294
-0.237465267 0 0 0 0 0 0.5069115026
-0.230733918 0 0 0 0 0 0.4501486602
-0.2239491366 0 0 0 0 0 0.4317068444
-0.2171105462 0 0 0 0 0 0.4146120189
-0.2102177678 0 0 0 0 0 0.3987892619
-0.2032704201 0 0 0 0 0 0.3842334642
-0.1962681193 0 0 0 0 0 0.3709364179
-0.1892104795 0 0 0 0 0 0.3588392802
-0.1820971121 0 0 0 0 0 0.3551827257
-0.1749276265 0 0 0 0 0 0.3416429646
-0.1677016294 0 0 0 0 0 0.3287555628
-0.1604187253 0 0 0 0 0 0.3158289565
-0.1530785161 0 0 0 0 0 0.3042575938
-0.1456806014 0 0 0 0 0 0.2935311393
-0.1382245782 0 0 0 0 0 0.2835858714
-0.1307100413 0 0 0 0 0 0.2744442505
-0.1231365827 0 0 0 0 0 0.2660635752
-0.1155037922 0 0 0 0 0 0.2583925737
-0.107811257 0 0 0 0 0 0.2514532339
-0.1000585617 0 0 0 0 0 0.2450596196
-0.0922452885 0 0 0 0 0 0.23880067
-0.084371017 0 0 0 0 0 0.2326890044
-0.0764353243 0 0 0 0 0 0.2268576708
-0.0684377849 0 0 0 0 0 0.221307918
-0.0603779706 0 0 0 0 0 0.21603525
-0.0522554509 0 0 0 0 0 0.2111802675
-0.0440697925 0 0 0 0 0 0.2068175926
-0.0358205594 0 0 0 0 0 0.2030979129
-0.0275073132 0 0 0 0 0 0.2000113828
-0.0191296126 0 0 0 0 0 0.1974971559
-0.010687014 0 0 0 0 0 0.1954033384
-0.0021790707 0 0 0 0 0 0.1937617549
0.006394666 0 0 0 0 0 0.1926107646
0.015034649 0 0 0 0 0 0.19193615
0.023741332 0 0 0 0 0 0.1917329509
0.032515173 0 0 0 0 0 0.1920687841
0.041356631 0 0 0 0 0 0.1928764111
0.05026617 0 0 0 0 0 0.1942352367
0.059244254 0 0 0 0 0 0.1961256444
0.068291353 0 0 0 0 0 0.1985009231
0.077407938 0 0 0 0 0 0.2013598653
0.086594482 0 0 0 0 0 0.2046585977
0.095851463 0 0 0 0 0 0.2083787996
0.105179359 0 0 0 0 0 0.2124772571
0.114578654 0 0 0 0 0 0.2169275974
0.124049833 0 0 0 0 0 0.2216119436
0.133593384 0 0 0 0 0 0.2266029959
0.143209799 0 0 0 0 0 0.2321283349
0.15289957 0 0 0 0 0 0.2383120143
0.162663196 0 0 0 0 0 0.2452371592
0.172501177 0 0 0 0 0 0.2530098911
0.182414014 0 0 0 0 0 0.26171645
0.192402214 0 0 0 0 0 0.271422344
0.202466287 0 0 0 0 0 0.2821800976
0.212606743 0 0 0 0 0 0.2940100142
0.222824098 0 0 0 0 0 0.3068817172
0.233118869 0 0 0 0 0 0.3208349397
0.243491578 0 0 0 0 0 0.3358851939
0.253942749 0 0 0 0 0 0.3520826481
0.264472908 0 0 0 0 0 0.3694618949
0.275082586 0 0 0 0 0 0.3881135821
0.285772316 0 0 0 0 0 0.4080913471
0.296542635 0 0 0 0 0 0.4293757339
0.307394083 0 0 0 0 0 0.4506262307
0.318327201 0 0 0 0 0 0.4735546698
0.329342536 0 0 0 0 0 0.4918001641
0.340440638 0 0 0 0 0 0.5210202397
0.351622057 0 0 0 0 0 0.5479603907
0.362887351 0 0 0 0 0 0.576985301
0.374237077 0 0 0 0 0 0.6083187543
0.385671798 0 0 0 0 0 0.642195342
0.39719208 0 0 0 0 0 0.6788095215
0.408798489 0 0 0 0 0 0.718332188
0.4204916 0 0 0 0 0 0.7609318916
0.432271986 0 0 0 0 0 0.8068967373
0.444140226 0 0 0 0 0 0.8566426732
0.456096903 0 0 0 0 0 0.9105809503
0.468142601 0 0 0 0 0 0.969084935
0.48027791 0 0 0 0 0 1.032722225
0.49250342 0 0 0 0 0 1.10182711
0.504819729 0 0 0 0 0 1.176044109
0.517227434 0 0 0 0 0 1.255367776
0.529727138 0 0 0 0 0 1.338535181
0.542319447 0 0 0 0 0 1.430867262
0.55500497 0 0 0 0 0 1.532764373
0.56778432 0 0 0 0 0 1.644929401
0.580658114 0 0 0 0 0 1.767966631
0.593626971 0 0 0 0 0 1.902352975
0.606691515 0 0 0 0 0 2.048513002
0.619852372 0 0 0 0 0 2.206966873
0.633110174 0 0 0 0 0 2.378304825
0.646465555 0 0 0 0 0 2.562985965
0.659919153 0 0 0 0 0 2.761258839
0.673471608 0 0 0 0 0 2.973048859
0.687123567 0 0 0 0 0 3.198480352
0.700875678 0 0 0 0 0 3.437954418
0.714728594 0 0 0 0 0 3.691706675
0.72868297 0 0 0 0 0 3.960040491
0.742739468 0 0 0 0 0 4.243368285
0.75689875 0 0 0 0 0 4.542030517
0.771161485 0 0 0 0 0 4.85640832
0.785528343 0 0 0 0 0 5.186883209
0.8 0 0 0 0 0 5.533809742
0 -0.75 0 0 0 0 1.717518605
0 -0.7300009009 0 0 0 0 1.427969715
0 -0.7102720598 0 0 0 0 1.213144692
0 -0.6908134769 0 0 0 0 1.033968039
0 -0.671625152 0 0 0 0 0.8941534888
0 -0.6527070853 0 0 0 0 0.7847903326
0 -0.6340592766 0 0 0 0 0.6980671906
0 -0.615681726 0 0 0 0 0.6312657781
0 -0.5975744336 0 0 0 0 0.5777183586
0 -0.5797373992 0 0 0 0 0.53110593
0 -0.5621706229 0 0 0 0 0.5483118993
0 -0.5448741048 0 0 0 0 0.5039321644
0 -0.5278478447 0 0 0 0 0.4654302058
0 -0.5110918427 0 0 0 0 0.4318842462
0 -0.4946060988 0 0 0 0 0.4027038236
0 -0.478390613 0 0 0 0 0.3772870754
0 -0.4624453853 0 0 0 0 0.3552768423
0 -0.4467704157 0 0 0 0 0.3358414962
0 -0.4313657042 0 0 0 0 0.3189933125
0 -0.4162312508 0 0 0 0 0.3043817977
0 -0.4013670555 0 0 0 0 0.2915055935
0 -0.3867731183 0 0 0 0 0.2800437264
0 -0.3724494392 0 0 0 0 0.2698547841
0 -0.3583960182 0 0 0 0 0.2607577634
0 -0.3446128553 0 0 0 0 0.2526904885
0 -0.3310999505 0 0 0 0 0.2455461034
0 -0.3178573037 0 0 0 0 0.2391738613
0 -0.3048849151 0 0 0 0 0.2334366414
0 -0.2921827846 0 0 0 0 0.2282471098
0 -0.2797509121 0 0 0 0 0.2235607941
0 -0.2675892978 0 0 0 0 0.2193427891
0 -0.2556979415 0 0 0 0 0.2155621521
0 -0.2440768434 0 0 0 0 0.2121954761
0 -0.2327260033 0 0 0 0 0.2092142005
0 -0.2216454214 0 0 0 0 0.2065374283
0 -0.2108350975 0 0 0 0 0.2041251868
0 -0.2002950318 0 0 0 0 0.2019908791
0 -0.1900252241 0 0 0 0 0.2000976831
0 -0.1800256745 0 0 0 0 0.1984372623
0 -0.170296383 0 0 0 0 0.197003679
0 -0.1608373497 0 0 0 0 0.1957848871
0 -0.1516485744 0 0 0 0 0.1947720432
0 -0.1427300572 0 0 0 0 0.1939324992
0 -0.1340817981 0 0 0 0 0.1931811065
0 -0.1257037971 0 0 0 0 0.1925350574
0 -0.1175960542 0 0 0 0 0.191998341
