# s_x s_a s_y II_00 II_01 II_11 Psi
-0.5 0 0 0 0 0 5.896620793
-0.4953951491 0 0 0 0 0 5.648979803
-0.4907521649 0 0 0 0 0 5.408686553
-0.4860707669 0 0 0 0 0 5.178955061
-0.481350673 0 0 0 0 0 4.961658061
-0.4765915991 0 0 0 0 0 4.749650117
-0.4717932592 0 0 0 0 0 4.545584482
-0.4669553658 0 0 0 0 0 4.349096703
-0.4620776292 0 0 0 0 0 4.143562131
-0.457159758 0 0 0 0 0 3.975004444
-0.4522014589 0 0 0 0 0 3.798015622
-0.4472024368 0 0 0 0 0 3.627162734
-0.4421623948 0 0 0 0 0 3.462198634
-0.4370810337 0 0 0 0 0 3.254351287
-0.4319580529 0 0 0 0 0 3.093728793
-0.4267931496 0 0 0 0 0 0.1444259469
-0.4215860191 0 0 0 0 0 0.1508889152
-0.4163363548 0 0 0 0 0 0.1469684543
-0.4110438482 0 0 0 0 0 0.1432626897
-0.4057081887 0 0 0 0 0 0.1397056715
-0.4003290639 0 0 0 0 0 0.1363200416
-0.3949061593 0 0 0 0 0 0.1318040651
-0.3894391586 0 0 0 0 0 0.1284341518
-0.3839277432 0 0 0 0 0 0.1247088929
-0.3783715927 0 0 0 0 0 0.1207641706
-0.3727703847 0 0 0 0 0 0.1168072891
-0.3671237946 0 0 0 0 0 0.1129790821
-0.3614314958 0 0 0 0 0 0.1059018108
-0.3556931599 0 0 0 0 0 0.1058353514
-0.3499084561 0 0 0 0 0 0.1025860106
-0.3440770517 0 0 0 0 0 0.09936717469
-0.3381986118 0 0 0 0 0 0.09561718878
-0.3322727996 0 0 0 0 0 0.09524488876
-0.326299276 0 0 0 0 0 0.09329584095
-0.3202776998 0 0 0 0 0 0.09149723313
-0.3142077277 0 0 0 0 0 0.1022373311
-0.3080890144 0 0 0 0 0 0.1005740084
-0.3019212121 0 0 0 0 0 0.09892531405
-0.2957039713 0 0 0 0 0 0.09734243399
-0.2894369398 0 0 0 0 0 0.09580660946
-0.2831197637 0 0 0 0 0 0.09436731978
-0.2767520865 0 0 0 0 0 0.09303049466
-0.2703335497 0 0 0 0 0 0.09176388073
