# s_x s_a s_y II_00 II_01 II_11 Psi
-0.5 0 0 0 0 0 6.553258283
-0.4953951491 0 0 0 0 0 6.257500965
-0.4907521649 0 0 0 0 0 5.974858664
-0.4860707669 0 0 0 0 0 5.699632499
-0.481350673 0 0 0 0 0 5.439533888
-0.4765915991 0 0 0 0 0 5.192943392
-0.4717932592 0 0 0 0 0 4.959249474
-0.4669553658 0 0 0 0 0 4.738127469
-0.4620776292 0 0 0 0 0 4.529113241
-0.457159758 0 0 0 0 0 4.331355609
-0.4522014589 0 0 0 0 0 4.144360091
-0.4472024368 0 0 0 0 0 3.967745581
-0.4421623948 0 0 0 0 0 3.800875778
-0.4370810337 0 0 0 0 0 3.642877195
-0.4319580529 0 0 0 0 0 3.493039277
-0.4267931496 0 0 0 0 0 3.350683662
-0.4215860191 0 0 0 0 0 3.215337225
-0.4163363548 0 0 0 0 0 3.086485186
-0.4110438482 0 0 0 0 0 2.963395832
-0.4057081887 0 0 0 0 0 2.844399611
-0.4003290639 0 0 0 0 0 2.729727725
-0.3949061593 0 0 0 0 0 2.619547107
-0.3894391586 0 0 0 0 0 2.513093059
-0.3839277432 0 0 0 0 0 2.410375584
-0.3783715927 0 0 0 0 0 2.311596167
-0.3727703847 0 0 0 0 0 2.216464375
-0.3671237946 0 0 0 0 0 2.125052744
-0.3614314958 0 0 0 0 0 0.6695817897
-0.3556931599 0 0 0 0 0 0.6592884626
-0.3499084561 0 0 0 0 0 0.6491128127
-0.3440770517 0 0 0 0 0 0.6387990097
-0.3381986118 0 0 0 0 0 0.6284261665
-0.3322727996 0 0 0 0 0 0.6178597255
-0.326299276 0 0 0 0 0 0.6071619384
-0.3202776998 0 0 0 0 0 0.5963004878
-0.3142077277 0 0 0 0 0 0.5852487578
-0.3080890144 0 0 0 0 0 0.5739832569
-0.3019212121 0 0 0 0 0 0.5626205443
-0.2957039713 0 0 0 0 0 0.5511335336
-0.2894369398 0 0 0 0 0 0.5394972206
-0.2831197637 0 0 0 0 0 0.527626597
-0.2767520865 0 0 0 0 0 0.5158190199
-0.2703335497 0 0 0 0 0 0.5039201758
-0.2638637926 0 0 0 0 0 0.4919189038
-0.2573424522 0 0 0 0 0 0.479904823
-0.2507691632 0 0 0 0 0 0.4677943226
-0.244143558 0 0 0 0 0 0.4558492365
-0.237465267 0 0 0 0 0 0.4440538144
-0.230733918 0 0 0 0 0 0.4322201281
-0.2239491366 0 0 0 0 0 0.4235484359
-0.2171105462 0 0 0 0 0 0.4087876468
-0.2102177678 0 0 0 0 0 0.3946642
-0.2032704201 0 0 0 0 0 0.3810339742
-0.1962681193 0 0 0 0 0 0.3676742395
-0.1892104795 0 0 0 0 0 0.3545496714
-0.1820971121 0 0 0 0 0 0.3418740364
-0.1749276265 0 0 0 0 0 0.328817087
-0.1677016294 0 0 0 0 0 0.3160745685
-0.1604187253 0 0 0 0 0 0.3040719301
-0.1530785161 0 0 0 0 0 0.2929269455
-0.1456806014 0 0 0 0 0 0.2821781702
-0.1382245782 0 0 0 0 0 0.2716463218
-0.1307100413 0 0 0 0 0 0.26101627
-0.1231365827 0 0 0 0 0 0.2505296876
-0.1155037922 0 0 0 0 0 0.2404892966
-0.107811257 0 0 0 0 0 0.2307607084
-0.1000585617 0 0 0 0 0 0.2212306144
-0.0922452885 0 0 0 0 0 0.2130029713
-0.084371017 0 0 0 0 0 0.2063269686
-0.0764353243 0 0 0 0 0 0.2006769974
-0.0684377849 0 0 0 0 0 0.1957749754
-0.0603779706 0 0 0 0 0 0.1916887923
-0.0522554509 0 0 0 0 0 0.188136291
-0.0440697925 0 0 0 0 0 0.1850195746
-0.0358205594 0 0 0 0 0 0.182386098
-0.0275073132 0 0 0 0 0 0.1802388689
-0.0191296126 0 0 0 0 0 0.1786390426
-0.010687014 0 0 0 0 0 0.1776845105
-0.0021790707 0 0 0 0 0 0.1774315555
0.006394666 0 0 0 0 0 0.1779420251
0.015034649 0 0 0 0 0 0.1792079707
0.023741332 0 0 0 0 0 0.1813487347
0.032515173 0 0 0 0 0 0.1844325817
0.041356631 0 0 0 0 0 0.1883687042
0.05026617 0 0 0 0 0 0.1931709317
0.059244254 0 0 0 0 0 0.198899214
0.068291353 0 0 0 0 0 0.2056288672
0.077407938 0 0 0 0 0 0.2134276342
0.086594482 0 0 0 0 0 0.2223465696
0.095851463 0 0 0 0 0 0.2324750435
0.105179359 0 0 0 0 0 0.2439236006
